pdb_id,max_dist,apix
4qy0,145.552,1.1283100775193797
7py8,227.586,1.764232558139535
7ma2,54.638999999999996,1.0
8a9y,231.142,1.791798449612403
4lx2,87.35300000000001,1.0
7nq4,96.02799999999999,1.0
3hq5,84.947,1.0
4dxj,113.455,1.0
5s81,92.001,1.0
7gna,74.074,1.0
3cp8,209.875,1.626937984496124
2it1,100.319,1.0
5kdr,80.056,1.0
5ajc,47.741,1.0
5jo4,137.222,1.0637364341085271
3efs,73.815,1.0
5m72,52.82,1.0
6zkk,278.18,2.1564341085271317
3zip,82.655,1.0
1st0,72.871,1.0
1xlh,91.469,1.0
2q2k,35.272,1.0
4ye7,57.13499999999999,1.0
3e5x,118.658,1.0
3nai,118.30699999999999,1.0
2p9s,126.31899999999999,1.0
1mh2,61.748000000000005,1.0
4fj6,139.073,1.0780852713178295
3w5s,76.73600000000002,1.0
3qiu,120.24300000000001,1.0
4bpv,115.12299999999999,1.0
3q6k,95.429,1.0
7zf4,42.033,1.0
1fwb,90.64200000000001,1.0
1mok,181.123,1.4040542635658915
5ad8,86.743,1.0
1jmj,109.613,1.0
6w2x,162.887,1.26268992248062
7fm7,104.855,1.0
6b6l,135.38,1.0494573643410852
5xwd,128.489,0.9960387596899225
1k4s,80.032,1.0
4cbj,75.127,1.0
4ab5,73.631,1.0
6cbv,84.10499999999999,1.0
5ytp,41.24,1.0
6gq3,116.205,1.0
5z81,58.044,1.0
2ehb,61.602,1.0
1twb,69.94,1.0
7fo8,103.47800000000001,1.0
2wn9,79.491,1.0
5b76,49.590999999999994,1.0
4op0,82.576,1.0
5oiq,89.081,1.0
5z0g,57.938,1.0
5bug,104.25300000000001,1.0
2n74,49.82,1.0
2i2w,83.77,1.0
2q1x,82.27199999999999,1.0
4z7b,47.597,1.0
3eii,103.929,1.0
4d8j,125.343,1.0
6ppi,143.98499999999999,1.1161627906976743
4bwf,74.32000000000001,1.0
6idw,107.012,1.0
6pic,177.872,1.3788527131782946
3lq4,101.21,1.0
5qlg,64.467,1.0
4nbf,123.143,1.0
6tji,92.75500000000001,1.0
6jwn,71.241,1.0
3sjm,53.855,1.0
5iw4,72.279,1.0
4i5g,148.61700000000002,1.1520697674418605
5vmf,130.878,1.0145581395348837
3es5,107.891,1.0
5uqp,81.36099999999999,1.0
5jo7,120.256,1.0
3hna,86.511,1.0
4pod,73.313,1.0
7epd,170.147,1.3189689922480619
5qje,87.032,1.0
4di3,115.725,1.0
7kbt,178.898,1.3868062015503875
6kzl,79.335,1.0
7fnh,104.30199999999999,1.0
1vgv,129.19600000000003,1.0015193798449615
6nsn,75.215,1.0
7zc5,240.069,1.861
6u2d,69.522,1.0
5a7b,71.83999999999999,1.0
5y5j,89.964,1.0
3l3c,129.995,1.0077131782945736
4pge,70.593,1.0
6l9i,110.779,1.0
1i7d,87.483,1.0
7xve,128.002,0.9922635658914729
4ob4,53.624,1.0
3oba,166.058,1.2872713178294573
8ayh,179.31,1.3900000000000001
7t8f,68.999,1.0
3cvw,72.225,1.0
2iut,124.47999999999999,1.0
2qhb,54.786,1.0
5wsk,213.887,1.6580387596899224
9hvp,61.887,1.0
3mmz,75.88499999999999,1.0
5yw5,93.797,1.0
2ff6,73.275,1.0
6u52,77.502,1.0
7v0h,106.095,1.0
4ob3,70.375,1.0
5v3v,58.708,1.0
7c1i,104.4,1.0
3vop,70.689,1.0
5csz,111.83699999999999,1.0
4p5m,117.197,1.0
6esn,53.894999999999996,1.0
1bd7,59.903999999999996,1.0
8h06,70.971,1.0
6uyf,98.107,1.0
5dah,71.11500000000001,1.0
3bxa,69.661,1.0
7bgp,74.252,1.0
7e3o,95.873,1.0
2imc,79.808,1.0
6kop,345.263,2.676457364341085
7o99,57.612,1.0
6wle,113.90100000000001,1.0
2v7q,139.49,1.0813178294573644
